ReferenceGenome,SRA_Data
GCF_000005825.2_ASM582v2_genomic.gbff.gz,SRR13921545
GCF_000005845.2_ASM584v2_genomic.gbff.gz,SRR4156085
GCF_000006605.1_ASM660v1_genomic.gbff.gz,SRR5123091
GCF_000006625.1_ASM662v1_genomic.gbff.gz,SRR896550
GCF_000006645.1_ASM664v1_genomic.gbff.gz,SRR14299225
GCF_000006685.1_ASM668v1_genomic.gbff.gz,SRR891341
GCF_000006725.1_ASM672v1_genomic.gbff.gz,SRR7439201
GCF_000006745.1_ASM674v1_genomic.gbff.gz,SRR10997234
GCF_000006765.1_ASM676v1_genomic.gbff.gz,SRR4239900
GCF_000006785.2_ASM678v2_genomic.gbff.gz,SRR4239896
GCF_000006825.1_ASM682v1_genomic.gbff.gz,SRR072788
GCF_000006845.1_ASM684v1_genomic.gbff.gz,SRR4239897
GCF_000006865.1_ASM686v1_genomic.gbff.gz,SRR4240356
GCF_000006885.1_ASM688v1_genomic.gbff.gz,SRR1997868
GCF_000006905.1_ASM690v1_genomic.gbff.gz,SRR4240291
GCF_000006925.2_ASM692v2_genomic.gbff.gz,SRR4240353
GCF_000006945.2_ASM694v2_genomic.gbff.gz,SRR3925804
GCF_000006965.1_ASM696v1_genomic.gbff.gz,SRR4240076
GCF_000006985.1_ASM698v1_genomic.gbff.gz,SRR4239829
GCF_000007025.1_ASM702v1_genomic.gbff.gz,SRR3924417
GCF_000007045.1_ASM704v1_genomic.gbff.gz,SRR3924038
GCF_000007085.1_ASM708v1_genomic.gbff.gz,SRR4240094
GCF_000007105.1_ASM710v1_genomic.gbff.gz,SRR1103547
GCF_000007125.1_ASM712v1_genomic.gbff.gz,SRR060928
GCF_000007145.1_ASM714v1_genomic.gbff.gz,SRR3926172
GCF_000007165.1_ASM716v1_genomic.gbff.gz,SRR3925729
GCF_000007205.1_ASM720v1_genomic.gbff.gz,SRR1796751
GCF_000007245.1_ASM724v1_genomic.gbff.gz,SRR4239988
GCF_000007265.1_ASM726v1_genomic.gbff.gz,SRR4239978
GCF_000007285.1_ASM728v1_genomic.gbff.gz,SRR3924019
GCF_000007325.1_ASM732v1_genomic.gbff.gz,SRR4240081
GCF_000007365.1_ASM736v1_genomic.gbff.gz,SRR3924069
GCF_000007385.1_ASM738v1_genomic.gbff.gz,SRR066227
GCF_000007405.1_ASM740v1_genomic.gbff.gz,SRR3924077
GCF_000007425.1_ASM742v1_genomic.gbff.gz,SRR4240071
GCF_000007445.1_ASM744v1_genomic.gbff.gz,SRR4240107
GCF_000007465.2_ASM746v2_genomic.gbff.gz,SRR4240338
GCF_000007485.1_ASM748v1_genomic.gbff.gz,SRR1800541
GCF_000007505.1_ASM750v1_genomic.gbff.gz,SRR4240091
GCF_000007525.1_ASM752v1_genomic.gbff.gz,SRR4240346
GCF_000007545.1_ASM754v1_genomic.gbff.gz,SRR3923876
GCF_000007565.2_ASM756v2_genomic.gbff.gz,SRR4240118
GCF_000007585.1_ASM758v1_genomic.gbff.gz,SRR4240109
GCF_000007605.1_ASM760v1_genomic.gbff.gz,SRR4239975
GCF_000007625.1_ASM762v1_genomic.gbff.gz,SRR061017
GCF_000007645.1_ASM764v1_genomic.gbff.gz,SRR072775
GCF_000007665.1_ASM766v1_genomic.gbff.gz,SRR13443640
GCF_000007685.1_ASM768v1_genomic.gbff.gz,SRR3924111
GCF_000007705.1_ASM770v1_genomic.gbff.gz,SRR4240069
GCF_000007725.1_ASM772v1_genomic.gbff.gz,SRR3925609
GCF_000007745.1_ASM774v1_genomic.gbff.gz,SRR3924562
GCF_000007765.2_ASM776v2_genomic.gbff.gz,SRR3923533
GCF_000007785.1_ASM778v1_genomic.gbff.gz,SRR3926514
GCF_000007805.1_ASM780v1_genomic.gbff.gz,SRR4240063
GCF_000007825.1_ASM782v1_genomic.gbff.gz,SRR3924067
GCF_000007845.1_ASM784v1_genomic.gbff.gz,SRR3926494
GCF_000007865.1_ASM786v1_genomic.gbff.gz,SRR3923938
GCF_000007885.1_ASM788v1_genomic.gbff.gz,SRR3923819
GCF_000007905.1_ASM790v1_genomic.gbff.gz,SRR3925114
GCF_000007925.1_ASM792v1_genomic.gbff.gz,SRR4240275
GCF_000007945.1_ASM794v1_genomic.gbff.gz,SRR3924079
GCF_000007985.2_ASM798v2_genomic.gbff.gz,SRR3923944
