RefSeq_ID,SRA_ID,Run_accession_ID,Assembly_ID
GCF_000005825.2,NA,NA,ASM582v2
GCF_000005845.2,SRS6067201,SRR13921545,ASM584v2
GCF_000006605.1,ERS670518,NA,ASM660v1
GCF_000006625.1,NA,NA,ASM662v1
GCF_000006645.1,NA,NA,ASM664v1
GCF_000006685.1,NA,NA,ASM668v1
GCF_000006725.1,NA,NA,ASM672v1
GCF_000006745.1,NA,NA,ASM674v1
GCF_000006765.1,NA,NA,ASM676v1
GCF_000006785.2,NA,NA,ASM678v2
GCF_000006825.1,NA,NA,ASM682v1
GCF_000006845.1,NA,NA,ASM684v1
GCF_000006865.1,NA,NA,ASM686v1
GCF_000006885.1,NA,NA,ASM688v1
GCF_000006905.1,NA,NA,ASM690v1
GCF_000006925.2,NA,NA,ASM692v2
GCF_000006945.2,NA,NA,ASM694v2
GCF_000006965.1,ERS670497,NA,ASM696v1
GCF_000006985.1,NA,NA,ASM698v1
GCF_000007025.1,NA,NA,ASM702v1
GCF_000007045.1,NA,NA,ASM704v1
GCF_000007085.1,NA,NA,ASM708v1
GCF_000007105.1,NA,NA,ASM710v1
GCF_000007125.1,NA,NA,ASM712v1
GCF_000007145.1,NA,NA,ASM714v1
GCF_000007165.1,NA,NA,ASM716v1
GCF_000007205.1,NA,NA,ASM720v1
GCF_000007245.1,NA,NA,ASM724v1
GCF_000007265.1,NA,NA,ASM726v1
GCF_000007285.1,NA,NA,ASM728v1
GCF_000007325.1,NA,NA,ASM732v1
GCF_000007365.1,NA,NA,ASM736v1
GCF_000007385.1,NA,NA,ASM738v1
GCF_000007405.1,NA,NA,ASM740v1
GCF_000007425.1,NA,NA,ASM742v1
GCF_000007445.1,NA,NA,ASM744v1
GCF_000007465.2,NA,NA,ASM746v2
GCF_000007485.1,NA,NA,ASM748v1
GCF_000007505.1,NA,NA,ASM750v1
GCF_000007525.1,NA,NA,ASM752v1
GCF_000007545.1,NA,NA,ASM754v1
GCF_000007565.2,NA,NA,ASM756v2
GCF_000007585.1,NA,NA,ASM758v1
GCF_000007605.1,NA,NA,ASM760v1
GCF_000007625.1,NA,NA,ASM762v1
GCF_000007645.1,NA,NA,ASM764v1
GCF_000007665.1,NA,NA,ASM766v1
GCF_000007685.1,NA,NA,ASM768v1
GCF_000007705.1,NA,NA,ASM770v1
GCF_000007725.1,NA,NA,ASM772v1
GCF_000007745.1,NA,NA,ASM774v1
GCF_000007765.2,NA,NA,ASM776v2
GCF_000007785.1,NA,NA,ASM778v1
GCF_000007805.1,NA,NA,ASM780v1
GCF_000007825.1,NA,NA,ASM782v1
GCF_000007845.1,NA,NA,ASM784v1
GCF_000007865.1,NA,NA,ASM786v1
GCF_000007885.1,NA,NA,ASM788v1
GCF_000007905.1,NA,NA,ASM790v1
GCF_000007925.1,NA,NA,ASM792v1
GCF_000007945.1,NA,NA,ASM794v1
GCF_000007985.2,NA,NA,ASM798v2
GCF_000008005.1,NA,NA,ASM800v1
GCF_000008025.1,NA,NA,ASM802v1
GCF_000008045.1,NA,NA,ASM804v1
GCF_000008065.1,NA,NA,ASM806v1
GCF_000008105.1,NA,NA,ASM810v1
GCF_000008125.1,NA,NA,ASM812v1
GCF_000008145.1,NA,NA,ASM814v1
GCF_000008165.1,NA,NA,ASM816v1
GCF_000008185.1,NA,NA,ASM818v1
GCF_000008205.1,NA,NA,ASM820v1
GCF_000008225.1,NA,NA,ASM822v1
GCF_000008245.1,NA,NA,ASM824v1
GCF_000008285.1,SRS2110380,NA,ASM828v1
GCF_000008305.1,NA,NA,ASM830v1
GCF_000008325.1,NA,NA,ASM832v1
GCF_000008345.1,NA,NA,ASM834v1
GCF_000008365.1,NA,NA,ASM836v1
GCF_000008385.1,NA,NA,ASM838v1
GCF_000008405.1,NA,NA,ASM840v1
GCF_000008425.1,NA,NA,ASM842v1
GCF_000008445.1,NA,NA,ASM844v1
GCF_000008465.1,NA,NA,ASM846v1
GCF_000008485.1,NA,NA,ASM848v1
GCF_000008505.1,NA,NA,ASM850v1
GCF_000008525.1,NA,NA,ASM852v1
GCF_000008545.1,NA,NA,ASM854v1
GCF_000008565.1,NA,NA,ASM856v1
GCF_000008585.1,NA,NA,ASM858v1
GCF_000008605.1,NA,NA,ASM860v1
GCF_000008625.1,NA,NA,ASM862v1
GCF_000008685.2,NA,NA,ASM868v2
GCF_000008725.1,NA,NA,ASM872v1
GCF_000008745.1,NA,NA,ASM874v1
GCF_000008765.1,NA,NA,ASM876v1
GCF_000008785.1,NA,NA,ASM878v1
GCF_000008805.1,SRS1669092,SRR4156085,ASM880v1
GCF_000008865.2,SRS391048,NA,ASM886v2
GCF_000008885.1,NA,NA,ASM888v1
GCF_000008925.1,NA,NA,ASM892v1
GCF_000008945.1,NA,NA,ASM894v1
GCF_000008985.1,ERS610120,NA,ASM898v1
GCF_000009005.1,ERS610121,NA,ASM900v1
GCF_000009025.1,ERS610122,NA,ASM902v1
GCF_000009045.1,ERS610123,NA,ASM904v1
GCF_000009065.1,ERS000059,NA,ASM906v1
GCF_000009085.1,ERS000062,NA,ASM908v1
GCF_000009105.1,ERS000061,NA,ASM910v1
GCF_000009125.1,ERS610127,NA,ASM912v1
GCF_000009145.1,NA,NA,ASM914v1
GCF_000009165.1,ERS610129,NA,ASM916v1
GCF_000009205.2,ERS000041,NA,ASM920v2
GCF_000009225.2,ERS379752,NA,ASM922v1
GCF_000009245.1,ERS610132,NA,ASM924v1
GCF_000009265.1,ERS000043,NA,ASM926v1
GCF_000009285.1,ERS670500,NA,ASM928v2
GCF_000009305.1,ERS610134,NA,ASM930v1
GCF_000009325.1,ERS610135,NA,ASM932v1
GCF_000009345.1,ERS000038,NA,ASM934v1
GCF_000009365.1,ERS610137,NA,ASM936v1
GCF_000009385.1,ERS000040,NA,ASM938v1
GCF_000009405.1,ERS379979,NA,ASM940v1
GCF_000009425.1,ERS610139,NA,ASM942v1
GCF_000009445.1,ERS380088,NA,ASM944v1
GCF_000009465.1,ERS000039,NA,ASM946v1
GCF_000009485.1,ERS000064,NA,ASM948v1
GCF_000009505.1,ERS000072,NA,ASM950v1
GCF_000009525.1,ERS000073,NA,ASM952v1
GCF_000009545.1,ERS610142,NA,ASM954v1
GCF_000009565.1,ERS379974,NA,ASM956v1
GCF_000009585.1,ERS380051,NA,ASM958v1
GCF_000009605.1,NA,NA,ASM960v1
GCF_000009625.1,NA,NA,ASM962v1
GCF_000009645.1,NA,NA,ASM964v1
